"cluster","window_text","gloss"
1,"them you just like to dump them","you dump them out and then ya don't even play with them you just like to dump them"
1,"doesn't her Dad like that xxx","why doesn't her Dad like that xxx"
1,"yes I'd like to listen to","yes I'd like to listen to shadow"
1,"you just like to clean it","you just like to clean it huh"
1,"no she doesn't like it","no she doesn't like it"
1,"and it's it's like a bush I","and it's it's like a bush I think"
1,"or frustrated with like the same toys","um I think she wasn't frustrated here because sometimes at home I think she gets bored or frustrated with like the same toys so um"
1,"sisters or something like","sisters or something like"
1,"groups when there's like a group of","like especially in groups when there's like a group of people who are generally going about their business she sits and xxx has conversations with herself"
1,"you like it","you like it"
1,"age it's not like they're gonna be","and they're all gonna be your age it's not like they're gonna be you know a lot older than you"
1,"I like that","I like that"
1,"like the table cloth","like the table cloth we put on the table"
1,"thought you would like it","thought you would like it"
1,"red would you like a yellow one","here I'll give you different colors blue red would you like a yellow one"
1,"it would taste like an orange and","well you thought it would taste like an orange and it fooled you"
1,"it gonna be like","what is it gonna be like"
1,"come out here like that","these things come out here like that"
1,"uh I don't like xxx","boys uh I don't like xxx"
1,"the good people like him and they're","all the good people like him and they're his friend"
1,"maybe Bob would like to read the","and maybe Bob would like to read the book too"
1,"would you like to live in","would you like to live in that house"
1,"would you like to come over","would you like to come over so I could tie your shoe"
1,"yeah ya like that machine","yeah ya like that machine"
1,"a little bit like a centipede","oh it looks a little bit like a centipede"
2,"they look like they have eyeballs","they look like they have eyeballs"
2,"look kind of like mice","they look kind of like mice"
2,"does it look like from up there","what does it look like from up there"
2,"does that look like a duckie","does that look like a duckie"
2,"does that look like a dandelion","does that look like a dandelion"
2,"does that look like to you","what does that look like to you"
2,"you look like you wanna be","you look like you wanna be bad"
2,"it does look like a mole","it does look like a mole"
2,"do they look like","what do they look like"
2,"that does look like a table","that does look like a table"
2,"doesn't really look like she needs it","uh she has a cane but she doesn't really look like she needs it"
2,"this doesn't look like the owl room","well this doesn't look like the owl room"
2,"somebody who look like a fat monkey","I know don't you know somebody who look like a fat monkey"
2,"he sposta look like","an what es he sposta look like"
2,"you look like a little boy","you look like a little boy to me"
2,"wreck we look like today","oh Dillon what a wreck we look like today"
2,"think they look like they could be","I think they look like they could be friends together they're not too different in size I'll take that one"
2,"does it look like a truck","a truck does it look like a truck"
2,"does that look like soda","does that look like soda"
2,"doesn't that look like a farm William","doesn't that look like a farm William"
2,"it didn't look like that though","mhm it didn't look like that though"
2,"look like peas","look like peas"
2,"they look like little switches don't","they look like little switches don't they"
2,"the baby would like to eat look","I bet you the baby would like to eat look"
2,"you look like somebody who's got","you look like somebody who's got all the money in the world there"
3,"yeah it looks like a space ship","yeah it looks like a space ship or something eh"
3,"lying it looks like in her crib","and she's lying it looks like in her crib"
3,"that looks like fun","that looks like fun"
3,"looks just like Gus over there","looks just like Gus over there"
3,"it looks like Officer Murphy has","it looks like Officer Murphy has stopped the car"
3,"what it looks like","isn't that what it looks like"
3,"looks like he's married","looks like he's married"
3,"it looks like she's dressed for","it looks like she's dressed for the part but not working the part though"
3,"uh this looks like a pie","uh this looks like a pie"
3,"that looks like your friend Sydney","that looks like your friend Sydney"
3,"xxx looks like snow","xxx looks like snow"
3,"this looks like an illustration of","this looks like an illustration of a duck"
3,"looks like a dog looks","looks like a dog looks like a um collie dog"
3,"what it looks like","yeah that's what it looks like"
3,"looks to me like the kitty's running","well it looks to me like the kitty's running away"
3,"he looks like a monkey","he looks like a monkey"
3,"sort of looks like a fish","sort of looks like a frog but sort of looks like a fish"
3,"it just looks like a","it just looks like a"
3,"oh it looks like his house","oh it looks like his house"
3,"he looks like all he likes","he looks like all he likes to do is just to be mean"
3,"know she looks like she has an","I know she looks like she has an owie"
3,"what it looks like","let's try and see what it looks like"
3,"that looks like a mom turkey","that looks like a mom turkey"
3,"that looks like a lion mhm","that looks like a lion mhm"
3,"the test looks like","Mark I don't understand what the test looks like"
4,"um looks like he's hitting a","um looks like he's hitting a ball"
4,"that looks like um a strawberry","that looks like um a strawberry"
4,"um doesn't look like they've put you","um doesn't look like they've put you know sugar or anything"
4,"um I don't like bugs but I","so you should say maybe something like um I don't like bugs but I learned to appreciate that something icky can turn into something beautiful"
4,"um just like that's not a","um just like that's not a complete sentence the same with this"
4,"I like when um he","I like when um he tried to catch the balloon"
4,"um kinda looks like your stereotypical pirate","um kinda looks like your stereotypical pirate with just a little of everything on him"
4,"um it looks like its reaching up","um it looks like its reaching up for something not looking down or you know"
4,"some something um like flowers","and they'd put something on it like flag or some something um like flowers"
4,"um would you like that","and um would you like that"
4,"um he looks like um he's maybe","and um he looks like um he's maybe either waving or maybe he's wiping down the dashboard or he's doing something with his hand"
4,"um we have like we have what","um we have like we have what do we have a hamburger patty and"
4,"cement is um like mud kinda really","cement is um like mud kinda really thick mud until it dries"
4,"couple a w like last week um","I can't get like this morning I mean like a couple a w like last week um I had monster models in the room in the country and you know what happened"
4,"think um people like that are paid","well I think the I think um people like that are paid by the state"
4,"looks like um it looks","looks like um it looks like an airline pilot"
4,"think of um like Crocodile Steve on","and it makes me think of um like Crocodile Steve on Discovery_Channel they love watching or Animal_Planet"
4,"um that looks like a picnic to","um that looks like a picnic to me"
4,"um I like I like oranges","um I like I like oranges"
4,"like most rabbits um","like most rabbits um"
4,"like a little like um","gym there's a like a little like um"
4,"and um looks like he's got big","and um looks like he's got big feet or long nails"
4,"um looks like it's homemade or","um looks like it's homemade or from a bakery or something because it's not cut"
4,"um we like bananas in our","um we like bananas in our house"
4,"the animal um like cows and stuff","the animal um like cows and stuff"
