"cluster","gloss"
1,"they look like little turtles or little rocks"
1,"look at where all the stickers are oh well"
1,"how his front paws are together and his back ones look like they're were walking"
1,"what do the toys look like Boo"
1,"you look kind of starry eyes there"
1,"no that one doesn't look like a curl"
1,"does that kinda look like a G maybe"
1,"doesn't look like a cow to me"
1,"well look"
1,"Boots is Dora's friend so I'm like and she was like look it look it look it"
1,"what's it look like"
1,"doesn't he look like an owl"
1,"does it look like it would be a warm soft pretzel"
1,"did you tell Daddy what your curtains are going to look like"
1,"looks like he's putting out a fire cause there's smoke in the background or what appears to look like smoke and fire"
1,"she goes right like this look"
1,"does that look like a doggy to you"
1,"you look like you just look like you're s looking for something to eat"
1,"well look let's get going"
1,"what kind of ball does a pumpkin look like"
2,"you like that"
2,"like all this stuff"
2,"this is the one and we found one just like this right"
2,"like this watch"
2,"it is kind of sore"
2,"or maybe it's a blue door is it a blue door"
2,"like that"
2,"you like that"
2,"anything else you'd like to say"
2,"oh the doggies like the ice+cream"
2,"like I said it's a cartoon character-ture very colorful so"
2,"why don't you like the chicken"
2,"in that you know they there's like a light switch"
2,"and I was like"
2,"otherwise if you get lost from your class then"
2,"like he'll start to cry that it's no out of his reach"
2,"alright but don't play with the cord like that"
2,"do you like the doll baby"
2,"anything else you'd like to tell me"
2,"mm it taste like a regular patata no sweetness"
3,"in something like that we can search for things that we don't even know are important yet"
3,"well when you put yours in the potty you can pretend you put his in too"
3,"well"
3,"well we're straightening up so that you have room"
3,"well I'll make another one"
3,"well he went in and came out and now he just flies away"
3,"well that's too bad"
3,"well then why didn't you have any fun when you went upstairs"
3,"well like"
3,"well you know what you hafta do today"
3,"well let's see where these pieces go"
3,"you can sweep some more if you want but mommy doesn't feel like sweeping right now"
3,"well let it cool off"
3,"well you don't like the noodles"
3,"well if we don't figure it out you know who we can ask"
3,"well are they neat toys"
3,"well this goes on every night"
3,"well the doggy's name is Doggie_Woggie"
3,"and both times were just well you know trust me"
3,"well apparently they'll get some of the service back"
4,"it looks like a seventies version of a geometry instructor"
4,"what looks like fun huh"
4,"it looks like um she's not feeling very well"
4,"looks like a fancy poodle dog hm"
4,"that looks like a fireplace doesn't it"
4,"um you_know she has you_know blocks and things like that in her um"
4,"yeah um we have like a set of those keys at home that she plays with"
4,"that looks like a chest of drawers"
4,"oh yeah looks like him huh"
4,"do you see anybody looks like Chantilly"
4,"she'll put things like um her dirty clothes in her clothes basket"
4,"looks like Tonga"
4,"he looks like he's all wet"
4,"hi um I'm a patient of Dr Sullivan's I actually had called yesterday I've been sort of"
4,"looks like a duck's um"
4,"looks like it to me"
4,"that looks like our bird"
4,"looks like there's some color on there Jilly how did you put that color on there"
4,"um I just know that lions pretty much sleep about like twenty hours out of the day"
4,"um looks strong"
5,"xxx you don't like that"
5,"xxx like your cookies there"
5,"alright xxx would you like to get down"
5,"uh what about the foods like um do think she recognize er you_know has heard around the house or maybe any of the names names xxx"
5,"there's something going around and Ethan's really sick and he has an allergy xxx"
5,"I did very well xxx"
5,"so you might say that you know so like I'd talk to the other moms yeah well how's xxx doing fine etcetera you_know"
5,"xxx do you like tea or coffee after dinner"
5,"well you can get xxx okay"
5,"xxx you look like your daddy"
5,"look it dis is xxx hafta be like dis"
5,"just like Uncle xxx"
5,"why you sitting there xxx like that"
5,"and a couple of cute little xxx like Yoda"
5,"would you like to read xxx"
5,"she was in uh well Kalifornia xxx"
5,"this looks like kind of xxx doesn't it"
5,"xxx like a fabric"
5,"work was just xxx fine and wonderful"
5,"that's kind well it might be also his uh shyness that you xxx"
