"cluster","window_text","gloss"
1,"do you like this little Dolly","do you like this little Dolly"
1,"she's like a little monkey","she's like a little monkey"
1,"look a little like gloves don't they","see they look a little like gloves don't they"
1,"it's uh like these little graduated","it's uh like these little graduated like cookie cutters so they have different all different sizes"
1,"um just like one little squishy","um just like one little squishy one"
1,"little teeny head like this","you start with a little teeny head like this"
1,"I do not like my little bed","I do not like my little bed"
1,"and you_know like the little board","and you_know like the little board books"
1,"do you like this little dolly","do you like this little dolly"
1,"looks a little like your dad doesn't","it looks a little like your dad doesn't it"
1,"they're little like cats","they're little like cats"
1,"a little bit like more and book","just a little bit like more and book are pretty much the extent of baby signs at this point"
1,"but you need like the little tiny","you're right it's the same color but you need like the little tiny back of that"
1,"little xxx xxx like it fits there","what looks like what little xxx xxx like it fits there"
1,"you_know little things like that","last year I didn't know like you_know little things like that"
1,"kind of little like biscuity type things","but you_know like the little she's had some kind of little like biscuity type things so maybe"
1,"a jet versus like a little rinkydink","and it looks like it's a jet versus like a little rinkydink plane"
1,"banana there is like a little skin","usually there's a on the top of the banana there is like a little skin you can you can pop it right back"
1,"she's got like little ca you_know","she's got like little ca you_know like little stuffed cow she's got"
1,"have juice for like a little refreshment","I mean we could just have juice for like a little refreshment"
1,"go to sleep like a little baby","are you gonna close your eyes and go to sleep like a little baby"
1,"a little apron like a store+man do","right he's wearing a little apron like a store+man do you go to the store with mommy"
1,"boy that's like what that little","boy that's like what that little boy did in the picture huh"
1,"would you like your little Playdoh","would you like your little Playdoh scissors"
1,"tastes a little like peanut+butter","tastes a little like peanut+butter"
2,"he's sounding like me","he's sounding like me"
2,"I think you like this stuff","I think you like this stuff"
2,"would you like a pencil or","would you like a pencil or a pen"
2,"here like this","here like this"
2,"you see something like this","do you see something like this"
2,"brown on them like see these ones","okay so we need all the pieces that have brown on them like see these ones"
2,"now you like animals right Chi","now you like animals right Chi"
2,"you shake like a big boy","you shake like a big boy"
2,"and teeth are like an elephant's","their skin and teeth are like an elephant's"
2,"which ones you like at the library","y'like to see which ones you like at the library"
2,"you do it like this","watch if you do it like this"
2,"huge like a big whale","huge like a big whale"
2,"do how she like to play","um about what she likes to do how she like to play"
2,"don't slam that like that","you don't slam that like that"
2,"fish and mammals like","um I think dolphins can be fish and mammals like"
2,"you like the baby don't","you like the baby don't you"
2,"oh you'll like to look at","oh you'll like to look at that"
2,"you sit up like that when you","you sit up like that when you wake up"
2,"you don't like bugs","you don't like bugs"
2,"he's got on like a real fancy","he's got on like a real fancy robe"
2,"like that","like that"
2,"momma does not like to camp in","I'm sure you would be excited but momma does not like to camp in the woods"
2,"pizza you probably like real pizza","it's not real pizza you probably like real pizza"
2,"pizza you like","pizza you like"
2,"I got no like I got one","no I got no like I got one I got one xxx right over here where the houses are"
3,"yeah just like Caillou does a","yeah just like Caillou does a pillow fight"
3,"just like you do on","just like you do on your big wheel"
3,"looks just exactly like it doesn't he","he looks just exactly like it doesn't he"
3,"just what I'd like to do","watch you do it that's just what I'd like to do"
3,"can just go like that","and I can just go like that"
3,"just like that","just like that"
3,"just like you tomorrow morning","just like you tomorrow morning huh"
3,"just like spot","just like spot"
3,"just like when we're in","just like when we're in the car and there's a song going on"
3,"just like you do the","just like you do the tapioca"
3,"just right quick like","can I can I xxx can I please fill this out just right quick like"
3,"just like your boyfriend's name","just like your boyfriend's name"
3,"that looks just like her","that looks just like her"
3,"just like the wolf in","just like the wolf in Little_red_riding_hood"
3,"and just like the wishing flower","and just like the wishing flower you can make wishes on lady bugs too"
3,"yellow hat just like yours","a yellow hat just like yours"
3,"hm you just like to eat her","hm you just like to eat her head"
3,"it's just like a round thing","it's just like a round thing"
3,"just like at home it's","just like at home it's Winnie_Cooper"
3,"fireplace too just like we have","in the house look he has a fireplace too just like we have"
3,"different colors just like these","were they different colors just like these"
3,"jack+in+the+box just like at home","jack+in+the+box just like at home"
3,"mhm just like mine","mhm just like mine"
3,"oh just like you have in","oh just like you have in school"
3,"know I feel like she's just like","I'm gonna forget and like I need to know everything you say because you know I feel like she's just like a guru or something you know"
