"cluster","term","score"
1,"just",0.0667011815434412
1,"one",0.0470570639602162
1,"xxx",0.0399045840436048
1,"go",0.0388141244027956
1,"know",0.0357229605523823
1,"oh",0.0328087897718862
1,"little",0.0309477734164776
1,"play",0.0305236671612981
1,"something",0.0302586016667234
1,"not",0.0291917700534439
1,"eat",0.0267000153048708
1,"yeah",0.0263919987684182
2,"look",1.23815723609348
2,"little",0.0413880500803702
2,"much",0.0356397475167796
2,"one",0.034263831438252
2,"xxx",0.0301387190554438
2,"kinda",0.0255610167337264
2,"elephants",0.02475367197501
2,"just",0.0242827610057058
2,"really",0.0232661543353074
2,"+",0.0204161793689657
2,"kind",0.0196157596522953
2,"gonna",0.0184489508370077
3,"looks",0.97801290035234
3,"kinda",0.0555309044901103
3,"one",0.0499172456328564
3,"little",0.0494108009390855
3,"kind",0.0469417305189904
3,"just",0.0437410980898767
3,"oh",0.0430489136476061
3,"yeah",0.0385203739205559
3,"might",0.038041260872694
3,"uh",0.0374054948665784
3,"got",0.0364801924238661
3,"maybe",0.0311847079912567
4,"um",1.77404226032553
4,"looks",0.260323533899567
4,"seems",0.0698806890450848
4,"said",0.0636381750217213
4,"little",0.0603511992088928
4,"uh",0.0495835640523368
4,"just",0.046637569545199
4,"kind",0.042757122304962
4,"think",0.0366268066634083
4,"maybe",0.0352416320147372
4,"kinda",0.0352185991073422
4,"yeah",0.0347440798992544
